Регіон,Рік,Мінімальний бал з укр. мови та літератури
Вінницька область,2019,100.00
Вінницька область,2020,100.00
Волинська область,2019,100.00
Волинська область,2020,100.00
Дніпропетровська область,2019,100.00
Дніпропетровська область,2020,100.00
Донецька область,2019,100.00
Донецька область,2020,100.00
Житомирська область,2019,100.00
Житомирська область,2020,100.00
Закарпатська область,2019,100.00
Закарпатська область,2020,100.00
Запорізька область,2019,100.00
Запорізька область,2020,100.00
Івано-Франківська область,2019,100.00
Івано-Франківська область,2020,100.00
Київська область,2019,100.00
Київська область,2020,100.00
Кіровоградська область,2019,100.00
Кіровоградська область,2020,100.00
Луганська область,2019,100.00
Луганська область,2020,100.00
Львівська область,2019,100.00
Львівська область,2020,100.00
Миколаївська область,2019,100.00
Миколаївська область,2020,100.00
м.Київ,2019,100.00
м.Київ,2020,100.00
Одеська область,2019,100.00
Одеська область,2020,100.00
Полтавська область,2019,100.00
Полтавська область,2020,100.00
Рівненська область,2019,100.00
Рівненська область,2020,100.00
Сумська область,2019,100.00
Сумська область,2020,100.00
Тернопільська область,2019,100.00
Тернопільська область,2020,100.00
Харківська область,2019,100.00
Харківська область,2020,100.00
Херсонська область,2019,100.00
Херсонська область,2020,100.00
Хмельницька область,2019,100.00
Хмельницька область,2020,100.00
Черкаська область,2019,100.00
Черкаська область,2020,100.00
Чернівецька область,2019,100.00
Чернівецька область,2020,100.00
Чернігівська область,2019,100.00
Чернігівська область,2020,100.00
